batting_team,count,mean,std,min,25%,50%,75%,max
Chennai Super Kings,132.0,158.32575757575756,33.22040580753218,9.0,140.75,160.0,180.25,246.0
Deccan Chargers,75.0,152.84,25.481864245094105,82.0,138.0,153.0,169.5,214.0
Delhi Daredevils,148.0,148.3310810810811,33.738770066883504,11.0,132.75,152.0,169.25,231.0
Gujarat Lions,31.0,156.83870967741936,37.16907027282545,6.0,141.0,162.0,179.0,208.0
Kings XI Punjab,150.0,153.78666666666666,36.210900999981,10.0,132.25,157.5,177.75,232.0
Kochi Tuskers Kerala,14.0,135.78571428571428,30.038894201271205,74.0,120.5,138.0,154.0,184.0
Kolkata Knight Riders,150.0,146.43333333333334,33.67858672182398,11.0,132.25,152.0,166.75,222.0
Mumbai Indians,158.0,155.19620253164558,31.43397870671983,11.0,141.0,159.0,175.5,223.0
Pune Warriors,45.0,141.2888888888889,25.31853634845985,99.0,119.0,141.0,159.0,192.0
Rajasthan Royals,120.0,147.525,38.221592406000305,6.0,131.0,147.0,170.0,223.0
Rising Pune Supergiant,16.0,154.375,28.120870067146452,78.0,154.75,161.0,168.0,187.0
Rising Pune Supergiants,14.0,147.35714285714286,36.07387109563064,76.0,127.75,159.5,170.5,195.0
Royal Challengers Bangalore,154.0,152.1818181818182,39.22308486357354,2.0,134.0,156.0,175.0,263.0
Sunrisers Hyderabad,77.0,151.32467532467533,32.81625141299801,20.0,133.0,150.0,172.0,209.0
